,total
1970,130541267
1971,131137667
1972,122181067
1973,134326567
1974,137014467
1975,138314767
1976,143454867
1977,147269367
1978,151043667
1979,158220267
1980,160037467
1981,155135967
1982,157119067
1983,163914067
1984,173213667
1985,179365167
1986,188913767
1987,196987467
1988,205433367
1989,207290167
1990,215020967
1991,212164567
1992,224126967
1993,244719567
1994,261427367
1995,271783767
1996,285495267
1997,295841067
1998,297802367
1999,312878667
2000,328576666
2001,335892204
2002,315923621
2003,321581004
2004,358711539
2005,368779300
2006,381946306
2007,403305194
2008,398162079
2009,409105342
2010,479617117
2011,499485708
2012,508462155
2013,524598513
2014,543760810
2015,563683188
2016,587559475
2017,607335959
2018,630591974
2019,642702281
2020,341896176
2021,404753193
