Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: Billion passengers
;Total;Domestic;International
1980;0.793;0.629;0.163
1981;0.797;0.624;0.173
1982;0.811;0.641;0.170
1983;0.845;0.672;0.173
1984;0.898;0.714;0.185
1985;0.952;0.758;0.194
1986;1.017;0.818;0.198
1987;1.089;0.867;0.222
1988;1.147;0.904;0.243
1989;1.186;0.924;0.262
1990;1.245;0.965;0.280
1991;1.213;0.946;0.266
1992;1.225;0.925;0.299
1993;1.221;0.902;0.319
1994;1.319;0.972;0.347
1995;1.395;1.020;0.375
1996;1.489;1.077;0.412
1997;1.559;1.121;0.438
1998;1.574;1.117;0.457
1999;1.672;1.179;0.493
2000;1.772;1.207;0.565
2001;1.738;1.179;0.559
2002;1.737;1.166;0.571
2003;1.792;1.207;0.586
2004;2.000;1.325;0.675
2005;2.142;1.406;0.736
2006;2.262;1.457;0.805
2007;2.461;1.572;0.889
2008;2.497;1.573;0.924
2009;2.487;1.551;0.936
2010;2.704;1.668;1.035
2011;2.869;1.745;1.123
2012;3.002;1.811;1.190
2013;3.136;1.884;1.252
2014;3.315;1.982;1.332
2015;3.554;2.118;1.436
2016;3.794;2.250;1.544
2017;4.062;2.412;1.651
2018;4.322;2.558;1.764
2019*;4.641;2.707;1.934
2020*;1.918;1.385;0.533
